filenames,3WD_Phrases,3WD_Items
01,{'three types of memory processes'},"[{'three types of memory processes': ['sensory register', 'short-term memory', 'long-term memory']}]"
02,"{'three major psychological movements ', 'three major movements in the field', 'three perspectives', 'three psychological forces', 'three major psychological movements', 'three forces'}","[{'three forces': ['Mind', 'Body&Soul']}, {'three forces': ['Mind', 'Body&Soul']}, {'': ['literature', 'art', 'science']}, {'three major movements in the field': ['Psychoanalysis', 'Behaviorism', 'Humanistic Psychology']}, {'': ['learning', 'motivation', 'cognition']}, {'three major psychological movements ': ['psychodynamic theory', 'behaviorism', 'humanistic psychology']}]"
03,{'three domains'},[]
04,"{'three traits', 'three components of psychological hardiness', 'three cs', 'three components', 'three attitudes'}","[{'three traits': ['control', 'commitment', 'challenge']}]"
05,"{'three subfields of professional psychology', 'three professional psychology subfields'}","[{'three subfields of professional psychology': ['Clinical Psychology', 'Counseling Psychology', 'School Psychology']}]"
06,"{'3 overlooked signs of a personality disorder', 'three great branches of psychology', 'three grand theorists', 'three branches', 'three great branches', 'three great branches of the discipline', 'three icons', 'three great paradigms in american psychology', 'three great branches with these icons', 'three dominant forces in psychology'}","[{'three icons': ['behaviorism', 'psychoanalysis', 'humanistic psychology']}, {'three great paradigms in american psychology': ['behaviorism', 'psychoanalysis', 'humanistic psychology']}, {'three great branches of the discipline': ['behaviorism', 'psychoanalysis', 'humanistic psychology']}]"
07,"{'three types of focus', 'three domains'}","[{'': ['Burnout', 'Injuries', 'Retirement']}]"
08,{'three main levels of analysis works'},[]
09,"{'the triangle of intrapsychic conflict', 'three elements interact', 'the triangle of inner conflict', 'the triangle of conflict'}","[{'the triangle of intrapsychic conflict': ['wish', 'fear', 'defense']}]"
10,"{'the cognitive triangle', 'the triangle', 'the cognitive triangle apply'}","[{'the cognitive triangle': ['You wake up feeling tired', 'groggy', 'insecure']}]"
12,"{'three ways', 'three phases', 'look at the triangle', 'the triangle of conflict', 'common misconceptions about the triangle', 'the triangle below', 'an equilateral triangle', 'a triangle of conflict', 'mind about the triangle', 'the bottom of the triangle', 'the arrows beside the triangle', 'a mistaken image because the triangle'}","[{'look at the triangle': ['feeling', 'anxiety', 'defense']}]"
13,"{'the “ golden triangle', 'three things', 'the golden triangle of happiness', 'three areas', 'the final piece of the golden triangle', 'three core areas', 'three elements', 'three corners', 'three keys', 'three life areas', 'three key areas in', 'three corners of the golden triangle', 'a triangle isn ’', 'three core elements', 'the “ golden triangle of happiness ”'}",[]
14,set(),[]
15,"{'three types', 'three main theories of learning'}","[{'': ['Biological', 'Social', 'Personal']}, {'': ['Biological', 'Social', 'Personal']}, {'three types': ['Biological motives', 'social motives', 'personal motives!']}, {'': ['example', 'Horse', 'water']}, {'': ['Motivation', 'Emotion', 'Attitudinal']}, {'': ['Working', 'Types', 'Characteristics']}]"
16,"{'three parts combinethreeto', 'three parts of the human personality'}","[{'': ['id', 'ego', 'superego']}]"
17,{'three components of emotion'},[]
18,{'three basic forms of learning'},"[{'three basic forms of learning': ['classical conditioning', 'operant conditioning', 'observational learning']}]"
19,"{'three components of attitude', 'three components', 'three components of attitudes'}","[{'': ['person', 'object', 'situation']}, {'': ['object', 'person', 'situation']}, {'': ['person', 'object', 'situation']}, {'three components': ['cognition', 'affect', 'behaviour–']}]"
20,{'three elements'},"[{'three elements': ['describing', 'explaining', 'understanding concepts from a standpoint of empirical investigation']}]"
21,"{'three theoretical approaches in social psychology', 'three perspectives share', 'three main theoretical approaches in the symbolic interactionist perspective', 'three stage process', 'three main theoretical programs', 'three ‘ ‘', 'three theoretical perspectives in social psychology'}","[{'three ‘ ‘': ['psychological social psychology', 'sociological social psychology', 'symbolic interactionism']}]"
22,"{'three goals of developmental psychology', 'three theorists', 'three key figures'}",[]
23,"{'three main types of attention', 'three main characteristics'}","[{'': ['size', 'intensity', 'motion']}, {'': ['attitude', 'interest', 'preparatory']}]"
24,"{'three types', 'three types of minds'}",[]
25,"{'3 d ’ s', 'three components', '3 ds'}","[{'': ['student', 'caregiver', 'parent']}]"
26,"{'three pillars of positive psychology', 'three pillars'}",[]
27,"{'three legs upon', 'three ', 'three legged stool', 'three legs'}","[{'three legged stool': ['Work', 'Love', 'Friendship']}, {'three legged stool': ['Work', 'Love', 'Friendship']}, {'three ': ['work', 'love', 'friendship']}]"
28,"{'three primary selves', 'three selves'}","[{'three primary selves': ['the child self', 'the defender', 'the adult self']}, {'three selves': ['It’s the most helpless', 'under-resourced', 'easily threatened of our three selves']}]"
29,"{'three paths', 'three things at a time', '3 overlooked signs of a personality disorder'}","[{'three paths': ['most ambitious', 'most cautious', 'a middle way']}]"
30,{'3 rules for a happier life'},[]
31,"{'three stages', 'three necessary stages in the learning', 'three stages of the learning/memory process'}","[{'three stages': ['encoding', 'storage', 'retrieval']}]"
32,"{'three horizons', 'the dark triadmanaging', 'the impact dark triad traits', 'dark triad behaviors', 'triadic', 'three distinct', 'three traits', 'key pointsthe dark triad personality traits', 'the dark triad', 'someone with dark triad traits', 'dark triad personality traits', 'dark triad traitstraditionally', 'more information about the dark triad', 'the dark triad tendencies', 'three traits of the dark triad', 'dark triad tendencies', 'dark triad', 'people with dark triad traitsif', 'dark triad individualsin', 'the impact of dark triad traits', 'dark triad traits'}","[{'three traits': ['narcissism', 'Machiavellianism', 'psychopathy']}, {'dark triad': ['narcissism', 'Machiavellianism', 'psychopathy']}, {'three distinct': ['narcissism', 'Machiavellianism', 'psychopathy']}, {'key pointsthe dark triad personality traits': ['narcissism', 'psychopathy', 'Machiavellianism']}, {'three horizons': ['SkillsNegotiation', 'Persuasion', 'InfluencePresentation']}, {'three horizons': ['SkillsNegotiation', 'Persuasion', 'InfluencePresentation']}]"
33,"{'three areas of difficultysocial communicationsocial interactionsocial imagination', 'the triad', 'the triad of impairment ', 'the triad of impairment'}",[]
34,{'3 signs'},[]
35,"{'three parts', 'three parts of', 'three parts of the mind'}","[{'three parts of': ['conative', 'affective', 'cognitive']}]"
36,"{'3 parts of self-concept', 'three primary components', 'three core parts'}",[]
37,"{'three approaches', 'three main approaches in cognitive psychology', '3 approaches'}","[{'three main approaches in cognitive psychology': ['experimental cognitive psychology', 'computational cognitive psychology', 'neural cognitive psychology']}, {'': ['e.g.', 'Lu&Sperling']}, {'': ['Bechara', 'Damasio', 'Damasio']}, {'': ['Johnson-Laird', 'Byne', 'Schaeken']}, {'': ['Thorne', 'Bratley&Dewar']}]"
38,"{'three brains', '3 brains'}","[{'three brains': ['the head', 'the gut', 'the heart']}]"
39,"{'three capacities of affect', 'three basic', 'three work', 'three aspects'}","[{'three aspects': ['the study of the feelings', 'behaviors', 'thoughts of individuals in the social situation']}]"
40,"{'three positive traits', 'the light triad scale', 'an inversion of the dark triad test ', 'the dark triad test uses', 'dark triad. ” participants', 'dark triad', 'an inversion of the dark triad test', 'a counterpart test of the so-called light triad traits', 'triad test homes', 'light triad traits', 'the dark triad', 'the light triad', 'dark triad traits'}","[{'': ['narcissism', 'Machiavellianism', 'psychopathy']}, {'': ['generosity', 'altruism', 'empathy']}, {'three positive traits': ['Kantianism', 'Humanism', 'Faith']}]"
41,"{'three basic psychological needs in the workplace', 'three needs on growth', 'three needs of autonomy', 'three needs', 'three outcomes', 'three needs because each', 'three psychological needs', 'three basic psychological needs autonomy', 'three needs as part', 'three basic needs', 'three basic psychological needsbasic psychological needs', 'three fundamental needs', 'three basic psychological needs', 'three factor-model', 'three needs in', 'three fundamental psychological needs', 'three basic psychological needsthere'}","[{'three fundamental needs': ['autonomy', 'competence', 'relatedness']}, {'three basic psychological needs autonomy': ['autonomy', 'competence', 'relatedness']}, {'three basic psychological needsbasic psychological needs': ['autonomy', 'competence', 'relatedness']}, {'three needs in': ['autonomy', 'competence', 'relatedness']}, {'three basic psychological needs autonomy': ['autonomy', 'competence', 'relatedness']}, {'three fundamental psychological needs': ['autonomy', 'competence', 'relatedness']}, {'': ['scale', 'Decietal']}, {'three needs in': ['behavi', '', 'absenteeism', 'task']}, {'three basic psychological needs': ['behavi', '', 'absenteeism', 'task']}, {'three needs because each': ['autonomy', 'competence', 'relatedness']}, {'three needs': ['take-awaysAutonomy', 'competence', 'relatedness']}]"
42,"{'three study lenses', 'three dimensions', 'three dimensions of vision', 'three dimensions of vision satisfaction'}","[{'three dimensions of vision': ['spatial awareness', 'discriminating efficiency', 'visual endurance']}, {'three dimensions': ['spatial awareness', 'discriminating efficiency', 'visual endurance']}]"
43,"{'three sections', 'three areas of life', 'three areas'}","[{'three areas': ['the intrapersonal', 'the interpersonal', 'the social cultural functions of emotions']}, {'three areas of life': ['the intrapersonal', 'interpersonal', 'social']}]"
44,"{'three months until adulthood', 'three decades', 'three major types of temperament'}","[{'': ['adaptability', 'sensitivity', 'quality']}, {'three major types of temperament': ['easy', 'difficult', 'slow-to-warm-up']}, {'': ['assertiveness', 'persistence', 'decisiveness']}, {'three major types of temperament': ['adaptability', 'sensitivity', 'quality']}, {'': ['assertiveness', 'persistence', 'decisiveness']}, {'three major types of temperament': ['adaptability', 'sensitivity', 'quality']}, {'': ['assertiveness', 'persistence', 'decisiveness']}]"
45,"{'three minds framework', 'three minds', 'three configurations of the mind'}","[{'three minds': ['the First Mind', 'Second Mind', 'Third Mind']}, {'three configurations of the mind': ['the First Mind', 'Second Mind', 'Third Mind']}, {'': ['Mind', 'identity', 'world']}]"
46,"{'three psychological dynamics that', '3 dynamics of unethical behavior\u200b'}","[{'three psychological dynamics that': ['omnipotence', 'cultural numbness', 'justified neglect']}]"
47,"{'3 factors of reciprocal determinism', 'triadic reciprocality', 'three factors that influence behavior'}","[{'': ['Bandura', 'psychologist', 'author']}, {'': ['Bandura', 'psychologist', 'author']}]"
48,"{'three psychological dimensions of', 'three psychological dimensions of vision', '3 percent of black men', 'three types of cones', 'three physical properties of light', 'three basic types of cones', 'three classes'}","[{'': ['perception', 'depth', 'distance']}]"
49,{'three stages in stress response'},"[{'': ['nature', 'duration', 'impact']}, {'': ['thrill', 'pleasure', 'excitement']}, {'': ['Though', 'serotonin', 'melatonin']}, {'': ['reflux', 'diarrhoea', 'constipation']}]"
50,"{'three kinds of empathy', 'three kinds', 'three types of empathy'}","[{'three kinds': ['Emotional', 'Cognitive', 'Compassionate']}, {'three kinds': ['Emotional', 'Cognitive', 'Compassionate']}, {'three types of empathy': ['Cognitive', 'Emotional', 'Compassionate']}]"
51,"{'three main types of attention', 'three main characteristics'}","[{'': ['size', 'intensity', 'motion']}, {'': ['attitude', 'interest', 'preparatory']}]"
